filename,transcription
rec_006_252_FIL_006,nakaraang taon pa
rec_006_252_FIL_007,matagal na
rec_006_252_FIL_008,hindi ko alam
rec_006_252_FIL_009,nakalimutan ko na
rec_006_253_FIL_001,segundo
rec_006_253_FIL_002,minuto
rec_006_253_FIL_003,oras
rec_006_253_FIL_004,higit sa isang oras
rec_006_254_FIL_001,oo
rec_006_254_FIL_002,opo
rec_006_254_FIL_003,hindi
rec_006_254_FIL_004,hindi ko alam
rec_006_254_FIL_005,hindi ko matandaan
rec_006_255_FIL_001,dalawang beses
rec_006_255_FIL_002,tatlong beses
rec_006_255_FIL_003,apat na beses
rec_006_255_FIL_004,limang beses
rec_006_255_FIL_005,higit sa limang beses
rec_006_255_FIL_006,hindi ko alam
rec_006_255_FIL_007,nakalimutan ko na
rec_006_256_FIL_001,sa pusod
rec_006_256_FIL_002,sa kaliwang parte
rec_006_256_FIL_003,sa kanang parte
rec_006_256_FIL_004,buong tiyan
rec_006_256_FIL_005,hindi ko alam
rec_006_256_FIL_006,hindi ko matandaan
rec_006_257_FIL_001,pag kumakain ng marami
rec_006_257_FIL_002,sa tubig
rec_006_257_FIL_003,kapag konti ang nakain
rec_006_257_FIL_004,kapag konti yung natae
rec_006_257_FIL_005,tuwing tumatae
rec_006_257_FIL_006,amoebiasis
rec_006_257_FIL_007,kumain ng mangga
rec_006_257_FIL_008,hindi ko alam
rec_006_257_FIL_009,hindi ko matandaan
rec_006_258_FIL_001,oo
rec_006_258_FIL_002,hindi
rec_006_258_FIL_003,wala pa
rec_006_258_FIL_004,hindi ko alam
rec_006_259_FIL_001,hirap dumumi
rec_006_259_FIL_002,pagtatae
rec_006_259_FIL_003,wala
rec_006_259_FIL_004,hindi ko alam
rec_006_259_FIL_005,nakalimutan ko na
rec_006_260_FIL_001,wala pa
rec_006_260_FIL_002,isang beses
rec_006_260_FIL_003,dalawang beses
rec_006_260_FIL_004,tatlong beses
rec_006_260_FIL_005,apat na beses
rec_006_260_FIL_006,limang beses
rec_006_260_FIL_007,anim na beses
rec_006_260_FIL_008,pitong beses
rec_006_260_FIL_009,walong beses
rec_006_260_FIL_010,siyam na beses
rec_006_260_FIL_011,sampung beses
rec_006_260_FIL_012,higit sa sampung beses
rec_006_260_FIL_013,hindi ko alam
rec_006_260_FIL_014,nakalimutan ko na
rec_006_261_FIL_001,tubig
rec_006_261_FIL_002,tubig na may konting buo
rec_006_261_FIL_003,malambot
rec_006_261_FIL_004,buo
rec_006_261_FIL_005,matigas
rec_006_261_FIL_006,may dugo
rec_006_261_FIL_007,hindi ko alam
rec_006_261_FIL_008,hindi ko nakita
rec_006_261_FIL_009,nakalimutan ko na
rec_006_262_FIL_001,nilalagyan ng efficascent oil
rec_006_262_FIL_002,naglalagay ng vicks
rec_006_262_FIL_003,dumudumi
rec_006_262_FIL_004,hindi ko alam
rec_006_262_FIL_005,nakalimutan ko na
rec_006_262_FIL_006,kakain ng papaya
rec_006_262_FIL_007,kakain ng avocado
rec_006_263_FIL_001,oo
rec_006_263_FIL_002,wala
rec_006_263_FIL_003,minsan
rec_006_263_FIL_004,hindi ko alam
rec_006_263_FIL_005,hindi ko matandaan
rec_006_264_FIL_001,loperamide
rec_006_264_FIL_002,imodium
rec_006_264_FIL_003,pedialyte
rec_006_264_FIL_004,hindi ko matandaan
rec_006_264_FIL_005,hindi ko alam
rec_006_265_FIL_001,oo
rec_006_265_FIL_002,hindi
rec_006_265_FIL_003,minsan minsan
rec_006_265_FIL_004,hindi ko alam
rec_006_265_FIL_005,hindi ko matandaan
rec_006_266_FIL_001,pagligo
rec_006_266_FIL_002,araw araw tuwing hapon
rec_006_266_FIL_003,isang beses
rec_006_266_FIL_004,dalawang beses
rec_006_266_FIL_005,hindi ko alam
rec_006_266_FIL_006,hindi ko matandaan
rec_006_267_FIL_001,anim na beses
rec_006_267_FIL_002,limang beses
rec_006_267_FIL_003,apat na beses
rec_006_267_FIL_004,tatlong beses
rec_006_267_FIL_005,dalawang beses
rec_006_267_FIL_006,isang beses
rec_006_268_FIL_001,hindi ko alam
rec_006_268_FIL_002,kakulay ng saging
rec_006_268_FIL_003,itim
rec_006_268_FIL_004,dilaw
rec_006_268_FIL_005,berde
rec_006_268_FIL_006,hindi ko alam
rec_006_268_FIL_007,hindi ko matandaan
rec_006_269_FIL_001,malambot
rec_006_269_FIL_002,matigas
rec_006_269_FIL_003,buo
rec_006_269_FIL_004,medyo matigas
rec_006_269_FIL_005,tubig
rec_006_270_FIL_001,madalas umihi
rec_006_270_FIL_002,pag umiinom ng maraming tubig
rec_006_270_FIL_003,apat po
rec_006_270_FIL_004,higit pa sa dalawa
rec_006_270_FIL_005,tatlong beses
rec_006_270_FIL_006,dalawang beses
rec_006_270_FIL_007,mahigit limang beses
rec_006_270_FIL_008,hindi ko alam
rec_006_270_FIL_009,hindi ko matandaan
rec_006_271_FIL_001,dalawa
rec_006_271_FIL_002,tatlo
rec_006_271_FIL_003,apat
rec_006_271_FIL_004,lima
rec_006_271_FIL_005,anim
rec_006_271_FIL_006,pito
rec_006_271_FIL_007,walo
rec_006_271_FIL_008,higit sa walong baso
rec_006_271_FIL_009,hindi ko alam
rec_006_271_FIL_010,hindi ko matandaan
rec_006_272_FIL_001,kakulay ng tubig
rec_006_272_FIL_002,puti
rec_006_272_FIL_003,maputlang dilaw
rec_006_272_FIL_004,dilaw
rec_006_272_FIL_005,maitim na dilaw
rec_006_273_FIL_001,hindi po
rec_006_273_FIL_002,minsan po
rec_006_273_FIL_003,wala po
rec_006_273_FIL_004,oo
rec_006_273_FIL_005,hindi ko alam
rec_006_273_FIL_006,nakalimutan ko na
rec_006_274_FIL_001,medyo masakit
rec_006_274_FIL_002,isa
rec_006_274_FIL_003,dalawa
rec_006_274_FIL_004,tatlo
rec_006_274_FIL_005,apat
rec_006_274_FIL_006,lima
rec_006_274_FIL_007,anim
rec_006_274_FIL_008,pito
rec_006_274_FIL_009,walo
rec_006_274_FIL_010,siyam
rec_006_274_FIL_011,sampu
rec_006_274_FIL_012,hindi ko alam
rec_006_274_FIL_013,nakalimutan ko na
rec_006_275_FIL_001,ngayon lang
rec_006_275_FIL_002,kanina
rec_006_275_FIL_003,kahapon
rec_006_275_FIL_004,nung isang araw
rec_006_275_FIL_005,nung isang linggo
rec_006_275_FIL_006,nung isang buwan
rec_006_275_FIL_007,nung isang taon
rec_006_275_FIL_008,matagal na
rec_006_275_FIL_009,hindi ko alam
rec_006_275_FIL_010,nakalimutan ko na
rec_006_276_FIL_001,saglit lang
rec_006_276_FIL_002,mabilis lang
rec_006_276_FIL_003,segundo
rec_006_276_FIL_004,minuto lang
rec_006_276_FIL_005,hindi ko alam
rec_006_276_FIL_006,hindi ko matandaan
rec_006_277_FIL_001,oo
rec_006_277_FIL_002,opo
rec_006_277_FIL_003,hindi
rec_006_277_FIL_004,hindi ko alam
rec_006_277_FIL_005,hindi ko matandaan
rec_006_278_FIL_001,dalawang beses
rec_006_278_FIL_002,tatlong beses
rec_006_278_FIL_003,apat na beses
rec_006_278_FIL_004,limang beses
rec_006_278_FIL_005,higit sa limang beses
rec_006_278_FIL_006,hindi ko alam
rec_006_278_FIL_007,hindi ko matandaan
rec_006_279_FIL_001,konti ako uminom ng tubig
rec_006_279_FIL_002,mahilig sa chichirya
rec_006_279_FIL_003,mahilig ako sa soft drinks
rec_006_279_FIL_004,mahilig ako sa maaalat na pagkain
rec_006_279_FIL_005,nagka uti na ako dati
rec_006_279_FIL_006,hindi ko alam
rec_006_279_FIL_007,hindi ko matandaan
rec_006_280_FIL_001,uminom ng maraming tubig
rec_006_280_FIL_002,iniwasan ang chichirya
rec_006_280_FIL_003,iniwasan mag soft drinks
rec_006_280_FIL_004,iniwasan ang maaalat na pagkain
rec_006_280_FIL_005,natulog
rec_006_280_FIL_006,pinabayaan ko lang
rec_006_280_FIL_007,hindi ko alam
rec_006_280_FIL_008,hindi ko matandaan
rec_006_280_FIL_009,nakalimutan ko na
rec_006_281_FIL_001,oo
rec_006_281_FIL_002,opo
rec_006_281_FIL_003,wala
rec_006_281_FIL_004,hindi ko alam
rec_006_281_FIL_005,hindi ko matandaan
rec_006_282_FIL_001,pain reliever
rec_006_282_FIL_002,hindi ko alam
rec_006_282_FIL_003,hindi ko matandaan
rec_006_282_FIL_004,nakalimutan ko na
rec_006_283_FIL_001,oo
rec_006_283_FIL_002,hindi
rec_006_283_FIL_003,opo
rec_006_283_FIL_004,hindi ko alam
rec_006_283_FIL_005,nakalimutan ko na
rec_006_284_FIL_001,uminom ng maraming tubig
rec_006_284_FIL_002,tumigil magchichirya
rec_006_284_FIL_003,tumigil mag soft drinks
rec_006_284_FIL_004,tumigil kumain ng maaalat
rec_006_284_FIL_005,magpahinga
rec_006_284_FIL_006,magpa admit
rec_006_284_FIL_007,hindi ko alam
rec_006_284_FIL_008,hindi ko matandaan
rec_006_284_FIL_009,nakalimutan ko na
rec_006_285_FIL_001,oo
rec_006_285_FIL_002,opo
rec_006_285_FIL_003,tuhod
rec_006_285_FIL_004,paa
rec_006_285_FIL_005,paminsan lang
rec_006_285_FIL_006,hindi ko alam
rec_006_285_FIL_007,nakalimutan ko na
rec_006_286_FIL_001,walang sakit
rec_006_286_FIL_002,isa
rec_006_286_FIL_003,dalawa
rec_006_286_FIL_004,tatlo
rec_006_286_FIL_005,apat
rec_006_286_FIL_006,lima
rec_006_286_FIL_007,anim
rec_006_286_FIL_008,pito
rec_006_286_FIL_009,walo
rec_006_286_FIL_010,siyam
rec_006_286_FIL_011,sampu
rec_006_286_FIL_012,hindi ko alam
rec_006_286_FIL_013,nakalimutan ko na
rec_006_287_FIL_001,ngayon lang
rec_006_287_FIL_002,kanina
rec_006_287_FIL_003,kahapon
rec_006_287_FIL_004,nung isang araw
rec_006_287_FIL_005,nung isang linggo
rec_006_287_FIL_006,nung isang buwan
rec_006_287_FIL_007,nung isang taon
rec_006_287_FIL_008,matagal na
rec_006_287_FIL_009,hindi ko alam
rec_006_287_FIL_010,nakalimutan ko na
rec_006_288_FIL_001,segundo
rec_006_288_FIL_002,minuto
rec_006_288_FIL_003,oras
rec_006_288_FIL_004,isang araw
rec_006_288_FIL_005,dalawang araw
rec_006_288_FIL_006,tatlong araw
rec_006_288_FIL_007,apat na araw
rec_006_288_FIL_008,limang araw
rec_006_288_FIL_009,anim na araw
rec_006_288_FIL_010,isang linggo
rec_006_288_FIL_011,hindi ko alam
rec_006_288_FIL_012,nakalimutan ko na
rec_006_289_FIL_001,oo
rec_006_289_FIL_002,opo
rec_006_289_FIL_003,hindi
rec_006_289_FIL_004,hindi ko alam
rec_006_289_FIL_005,hindi ko matandaan
rec_006_290_FIL_001,dalawang beses
rec_006_290_FIL_002,tatlong beses
rec_006_290_FIL_003,apat na beses
rec_006_290_FIL_004,limang beses
rec_006_290_FIL_005,anim na beses
rec_006_290_FIL_006,pitong beses
rec_006_290_FIL_007,higit sa pitong beses
rec_006_290_FIL_008,hindi ko alam
rec_006_290_FIL_009,nakalimutan ko na
rec_006_291_FIL_001,nasobrahan sa paglalakad
rec_006_291_FIL_002,paminsan minsan dahil sa kabigatan
rec_006_291_FIL_003,kapag pagod
rec_006_291_FIL_004,tuhod kapag tumatayo sa upuan
rec_006_291_FIL_005,nasobrahan sa paglalaro
rec_006_291_FIL_006,bigla nalang
rec_006_291_FIL_007,hindi ko alam
rec_006_291_FIL_008,hindi ko matandaan
rec_006_291_FIL_009,nakalimutan ko na
rec_006_292_FIL_001,pahinga
rec_006_292_FIL_002,umuupo lang
rec_006_292_FIL_003,hindi ko alam
rec_006_292_FIL_004,hindi ko matandaan
rec_006_292_FIL_005,nakalimutan ko na
rec_006_293_FIL_001,oo
rec_006_293_FIL_002,opo
rec_006_293_FIL_003,hindi
rec_006_293_FIL_004,hindi ko alam
rec_006_293_FIL_005,hindi ko matandaan
rec_006_293_FIL_006,nakalimutan ko na
rec_006_294_FIL_001,liver
rec_006_294_FIL_002,hindi ko alam
rec_006_294_FIL_003,hindi ko matandaan
rec_006_294_FIL_004,nakalimutan ko na
rec_006_295_FIL_001,oo
rec_006_295_FIL_002,opo
rec_006_295_FIL_003,hindi
rec_006_295_FIL_004,hindi ko alam
rec_006_295_FIL_005,nakalimutan ko na
rec_006_296_FIL_001,magpahinga
rec_006_296_FIL_002,magpa admit sa hospital
rec_006_296_FIL_003,may niresetang gamot
rec_006_296_FIL_004,hindi ko alam
rec_006_296_FIL_005,hindi ko matandaan
rec_006_296_FIL_006,nakalimutan ko na
rec_006_297_FIL_001,oo
rec_006_297_FIL_002,opo
rec_006_297_FIL_003,hindi
rec_006_297_FIL_004,hindi pa
rec_006_298_FIL_001,kanina lang
rec_006_298_FIL_002,kahapon
rec_006_298_FIL_003,nung isang araw
rec_006_298_FIL_004,nung isang linggo
rec_006_298_FIL_005,nung isang buwan
rec_006_298_FIL_006,nung isang taon
rec_006_298_FIL_007,hindi ko alam
rec_006_298_FIL_008,nakalimutan ko na
rec_006_299_FIL_001,tatlo
rec_006_299_FIL_002,apat
rec_006_299_FIL_003,lima
rec_006_299_FIL_004,apat hanggang lima
rec_006_299_FIL_005,anim
rec_006_299_FIL_006,higit sa anim na araw
rec_006_299_FIL_007,hindi ko alam
rec_006_299_FIL_008,nakalimutan ko na
rec_006_301_FIL_001,oo
rec_006_301_FIL_002,opo
rec_006_301_FIL_003,minsan
rec_006_301_FIL_004,hindi
rec_006_301_FIL_005,hindi ko alam
rec_006_301_FIL_006,hindi ko matandaan
rec_006_301_FIL_007,nakalimutan ko na
rec_006_302_FIL_001,walang sakit
rec_006_302_FIL_002,isa
rec_006_302_FIL_003,tatlo
rec_006_302_FIL_004,apat
rec_006_302_FIL_005,lima
rec_006_302_FIL_006,anim
rec_006_302_FIL_007,pito
rec_006_302_FIL_008,walo
rec_006_302_FIL_009,siyam
rec_006_302_FIL_010,sampu
rec_006_302_FIL_011,hindi ko alam
rec_006_303_FIL_001,natutulog
rec_006_303_FIL_002,nagpapahinga
rec_006_303_FIL_003,umiinom ng pain reliever
rec_006_303_FIL_004,kumakain ng matatamis
rec_006_303_FIL_005,nagehersisyo
rec_006_303_FIL_006,hindi ko alam
rec_006_303_FIL_007,nakalimutan ko na
rec_006_304_FIL_001,hindi pa
rec_006_304_FIL_002,sa petsa pa
rec_006_304_FIL_003,kapag edad na ako
rec_006_304_FIL_004,nung sanggol pa lang ako
rec_006_304_FIL_005,hindi ko alam
rec_006_305_FIL_001,pitong taong gulang
rec_006_305_FIL_002,walong taong gulang
rec_006_305_FIL_003,siyam na taong gulang
rec_006_305_FIL_004,sampung taong gulang
rec_006_305_FIL_005,nung sanggol pa lang ako
rec_006_305_FIL_006,hindi ko alam
rec_006_306_FIL_001,isang araw
rec_006_306_FIL_002,dalawang araw
rec_006_306_FIL_003,tatlong araw
rec_006_306_FIL_004,apat na araw
rec_006_306_FIL_005,limang araw
rec_006_306_FIL_006,anim na araw
rec_006_306_FIL_007,pitong araw
rec_006_306_FIL_008,higit sa pitong araw
rec_006_306_FIL_009,hindi ko alam
rec_006_307_FIL_001,oo
rec_006_307_FIL_002,opo
rec_006_307_FIL_003,minsan
rec_006_307_FIL_004,hindi
rec_006_307_FIL_005,hindi ko alam
rec_006_308_FIL_001,walang sakit
rec_006_308_FIL_002,isa
rec_006_308_FIL_003,dalawa
rec_006_308_FIL_004,tatlo
rec_006_308_FIL_005,apat
rec_006_308_FIL_006,lima
rec_006_308_FIL_007,anim
rec_006_308_FIL_008,pito
rec_006_308_FIL_009,walo
rec_006_308_FIL_010,siyam
rec_006_308_FIL_011,sampu
rec_006_309_FIL_001,oo
rec_006_309_FIL_002,opo
rec_006_309_FIL_003,hindi
rec_006_309_FIL_004,hindi ko alam
rec_006_309_FIL_005,nakalimutan ko na
rec_006_310_FIL_001,pain reliever
rec_006_310_FIL_002,antibiotics
rec_006_310_FIL_003,hindi ko alam
rec_006_310_FIL_004,hindi ko matandaan
rec_006_310_FIL_005,nakalimutan ko na
rec_006_311_FIL_001,oo
rec_006_311_FIL_002,opo
rec_006_311_FIL_003,hindi na
rec_006_311_FIL_004,hindi ko alam
rec_006_312_FIL_001,sinusubuan pa
rec_006_312_FIL_002,hindi ko alam
rec_006_313_FIL_001,dalawang beses
rec_006_313_FIL_002,tatlong beses
rec_006_313_FIL_003,apat na beses
rec_006_313_FIL_004,limang beses
rec_006_313_FIL_005,anim na beses
rec_006_313_FIL_006,hindi ko alam
rec_006_314_FIL_001,opo
rec_006_314_FIL_002,hindi
rec_006_314_FIL_003,minsan
rec_006_314_FIL_004,hindi palagi
rec_006_314_FIL_005,depende sa prutas
rec_006_315_FIL_001,opo
rec_006_315_FIL_002,hindi
rec_006_315_FIL_003,minsan
rec_006_315_FIL_004,hindi palagi
rec_006_315_FIL_005,depende sa gulay
rec_006_316_FIL_001,oo
rec_006_316_FIL_002,opo
rec_006_316_FIL_003,minsan
rec_006_316_FIL_004,hindi
rec_006_316_FIL_005,hindi ko alam
rec_006_317_FIL_001,isa
rec_006_317_FIL_002,dalawa
rec_006_317_FIL_003,tatlo
rec_006_317_FIL_004,apat
rec_006_317_FIL_005,higit sa apat na beses
rec_006_317_FIL_006,hindi ko alam
rec_006_318_FIL_001,prutas
rec_006_318_FIL_002,biscuit
rec_006_318_FIL_003,tinapay
rec_006_318_FIL_004,juice
rec_006_318_FIL_005,kendi
rec_006_318_FIL_006,tsokoleyt
rec_006_318_FIL_007,junk foods
rec_006_318_FIL_008,cake
rec_006_318_FIL_009,kahit ano
rec_006_318_FIL_010,hindi ko alam
rec_006_319_FIL_001,opo
rec_006_319_FIL_002,hindi
rec_006_319_FIL_003,minsan
rec_006_319_FIL_004,hindi ko alam
rec_006_320_FIL_001,opo
rec_006_320_FIL_002,hindi
rec_006_320_FIL_003,minsan
rec_006_320_FIL_004,hindi ko alam
rec_006_321_FIL_001,naghahanda ng plato
rec_006_321_FIL_002,naghahain
rec_006_321_FIL_003,kumukuha ng kanin
rec_006_321_FIL_004,nagluluto ng hatdog
rec_006_321_FIL_005,gumagawa ng cookies
rec_006_321_FIL_006,hindi ko alam
rec_006_321_FIL_007,hindi ko matandaan
rec_006_322_FIL_001,hindi
rec_006_322_FIL_002,oo
rec_006_322_FIL_003,may natitira konti
rec_006_322_FIL_004,minsan
rec_006_322_FIL_005,hindi ko alam
rec_006_323_FIL_001,konti
rec_006_323_FIL_002,kalahati ng kinuha ko
rec_006_323_FIL_003,madami
rec_006_323_FIL_004,hindi ko alam
rec_006_324_FIL_001,busog na ako
rec_006_324_FIL_002,marami akong kinuha
rec_006_324_FIL_003,maraming nainom na tubig
rec_006_324_FIL_004,mabilis mabusog
rec_006_324_FIL_005,hindi ko alam
rec_006_325_FIL_001,opo
rec_006_325_FIL_002,hindi
rec_006_325_FIL_003,minsan
rec_006_325_FIL_004,hindi ko alam
rec_006_326_FIL_001,pagsuot ng damit
rec_006_326_FIL_002,hindi ko alam
rec_006_327_FIL_001,oo
rec_006_327_FIL_002,hindi
rec_006_327_FIL_003,minsan
rec_006_328_FIL_001,oo
rec_006_328_FIL_002,hindi
rec_006_328_FIL_003,minsan
rec_006_329_FIL_001,paghuhugas matapos dumumi
rec_006_329_FIL_002,paliligo
rec_006_329_FIL_003,hindi ko alam
rec_006_330_FIL_001,oo
rec_006_330_FIL_002,hindi
rec_006_330_FIL_003,minsan
rec_006_330_FIL_004,hindi ko alam
rec_006_331_FIL_001,hindi ko alam
rec_006_332_FIL_001,meron
rec_006_332_FIL_002,marami
rec_006_332_FIL_003,minsan
rec_006_332_FIL_004,wala
rec_006_333_FIL_001,taya tayaan
rec_006_333_FIL_002,habulan
rec_006_333_FIL_003,basketball
rec_006_333_FIL_004,volleyball
rec_006_333_FIL_005,magbisikleta
rec_006_333_FIL_006,mag cellphone
rec_006_333_FIL_007,chinese garter
rec_006_333_FIL_008,luto lutuan
rec_006_333_FIL_009,bahay bahayan
rec_006_333_FIL_010,hindi ko alam
rec_006_333_FIL_011,madami
rec_006_334_FIL_001,oo
rec_006_334_FIL_002,opo
rec_006_334_FIL_003,hindi
rec_006_334_FIL_004,minsan
rec_006_334_FIL_005,hindi ko alam
rec_006_335_FIL_001,masamang panaginip
rec_006_335_FIL_002,baradong ilong
rec_006_335_FIL_003,ubo at sipon
rec_006_335_FIL_004,hindi ko alam
rec_006_336_FIL_001,ngayon lang
rec_006_336_FIL_002,nakaraang araw
rec_006_336_FIL_003,nakaraang linggo
rec_006_336_FIL_004,hindi ko alam
rec_006_336_FIL_005,hindi ko matandaan
rec_006_337_FIL_001,oo
rec_006_337_FIL_002,minsan
rec_006_337_FIL_003,hindi
rec_006_337_FIL_004,hindi ko alam
rec_006_338_FIL_001,dalawang beses
rec_006_338_FIL_002,tatlong beses
rec_006_338_FIL_003,apat na beses
rec_006_338_FIL_004,limang beses
rec_006_338_FIL_005,anim na beses
rec_006_338_FIL_006,pitong beses
rec_006_338_FIL_007,walong beses
rec_006_338_FIL_008,siyam na beses
rec_006_338_FIL_009,sampung beses
rec_006_338_FIL_010,hindi ko alam
rec_006_339_FIL_001,pinabayaan ko lang
rec_006_339_FIL_002,nagiba nang posisyon
rec_006_339_FIL_003,tumagilid
rec_006_339_FIL_004,nagkumot
rec_006_339_FIL_005,uminom ng gatas
rec_006_340_FIL_001,seven pm
rec_006_340_FIL_002,seven thirty pm
rec_006_340_FIL_003,eight pm
rec_006_340_FIL_004,nine pm
rec_006_340_FIL_005,ten pm
rec_006_340_FIL_006,ten thirty pm
rec_006_340_FIL_007,eleven pm
rec_006_340_FIL_008,twelve am
rec_006_341_FIL_001,five am
rec_006_341_FIL_002,five thirty am
rec_006_341_FIL_003,six am
rec_006_341_FIL_004,six thirty am
rec_006_341_FIL_005,seven am
rec_006_341_FIL_006,eight am
rec_006_341_FIL_007,nine am
rec_006_341_FIL_008,ten am
rec_006_341_FIL_009,eleven am
rec_006_342_FIL_001,hindi po
rec_006_342_FIL_002,hindi po maam
rec_006_342_FIL_003,kasi may pantal ako
rec_006_342_FIL_004,kumirot ang puso dahil sa pagod
rec_006_342_FIL_005,madalas
rec_006_342_FIL_006,madalas po
rec_006_342_FIL_007,masakit ang ulo at tiyan
rec_006_342_FIL_008,masakit po yung tiyan
rec_006_342_FIL_009,minsan
rec_006_342_FIL_010,opo
rec_006_342_FIL_011,sakit ng ulo at ngipin
rec_006_343_FIL_001,minsan
rec_006_343_FIL_002,hindi po
rec_006_343_FIL_003,madalas po
rec_006_343_FIL_004,hindi
rec_006_343_FIL_005,hindi po maam
rec_006_343_FIL_006,hindi po
rec_006_344_FIL_001,hindi po maam
rec_006_344_FIL_002,minsan po
rec_006_344_FIL_003,madalas po
rec_006_344_FIL_004,tumatakbo ako sa labas
rec_006_344_FIL_005,hindi po
rec_006_344_FIL_006,minsan
rec_006_344_FIL_007,madami ako energy
rec_006_345_FIL_001,minsan po
rec_006_345_FIL_002,minsan po ganyan
rec_006_345_FIL_003,hindi po
rec_006_345_FIL_004,madalas
rec_006_345_FIL_005,hindi naman po
rec_006_346_FIL_001,minsan po
rec_006_346_FIL_002,minsan po hindi ko naintindihan ang tanong
rec_006_346_FIL_003,hindi po
rec_006_346_FIL_004,wala po kami problema ni teacher
rec_006_346_FIL_005,hindi ko naintindihan yung tanong
rec_006_346_FIL_006,hindi
rec_006_346_FIL_007,hindi naman po
rec_006_346_FIL_008,wala po
rec_006_346_FIL_009,minsan
rec_006_347_FIL_001,hindi po
rec_006_347_FIL_002,minsan po
rec_006_348_FIL_001,minsan
rec_006_348_FIL_002,hindi po
rec_006_348_FIL_003,hindi maintindihan yung tanong
rec_006_348_FIL_004,madalas
rec_006_348_FIL_005,hindi naman po
rec_006_348_FIL_006,opo
rec_006_348_FIL_007,hindi
rec_006_349_FIL_001,hindi ko po maintindihan yung tanong
rec_006_349_FIL_002,opo
rec_006_349_FIL_003,lagi po
rec_006_349_FIL_004,lagi ko iniisip ang laro
rec_006_349_FIL_005,madalas po
rec_006_349_FIL_006,hindi po
rec_006_349_FIL_007,minsan po
rec_006_349_FIL_008,hindi
rec_006_350_FIL_001,minsan po
rec_006_350_FIL_002,madalas po
rec_006_350_FIL_003,hindi po
rec_006_350_FIL_004,ano po yung attention
rec_006_350_FIL_005,minsan
rec_006_350_FIL_006,madalas
rec_006_351_FIL_001,madalas po
rec_006_351_FIL_002,madami po pinapagawa sa school
rec_006_351_FIL_003,hindi po
rec_006_351_FIL_004,opo
rec_006_351_FIL_005,minsan po
rec_006_351_FIL_006,hindi naman po
rec_006_352_FIL_001,san
rec_006_352_FIL_002,hindi po
rec_006_352_FIL_003,madalas
rec_006_352_FIL_004,pag pinapalo ako
rec_006_352_FIL_005,hindi
rec_006_353_FIL_001,minsan po
rec_006_353_FIL_002,meron po akong dalawang kapatid na babae na gumaganti
rec_006_353_FIL_003,inaaway kasi ako
rec_006_353_FIL_004,madalas po
rec_006_353_FIL_005,dahil binu bully ako ng kapatid kong babae
rec_006_353_FIL_006,hindi ko maintindihan yung tanong
rec_006_353_FIL_007,madalas
rec_006_353_FIL_008,pag makalat yung gamit
rec_006_353_FIL_009,kasi inaaway ako ng kaibigan ko
rec_006_354_FIL_001,minsan
rec_006_354_FIL_002,hindi po
rec_006_354_FIL_003,hindi ko naintindihan yung tanong
rec_006_354_FIL_004,di ko alam kung bakit
rec_006_355_FIL_001,ito po di ko maintindihan
rec_006_355_FIL_002,opo madalas
rec_006_355_FIL_003,hindi ko po maintindihan
rec_006_355_FIL_004,minsan po
rec_006_355_FIL_005,madalas po
rec_006_356_FIL_001,madalas po
rec_006_356_FIL_002,hindi po
rec_006_356_FIL_003,marami po akong friends sa online at sa school
rec_006_356_FIL_004,madalas
rec_006_357_FIL_001,hindi po
rec_006_357_FIL_002,minsan binu bully ako
rec_006_357_FIL_003,minsan po
rec_006_357_FIL_004,hindi pa po
rec_006_357_FIL_005,hindi naman po
rec_006_357_FIL_006,nagkakapikunan sa laro
rec_006_358_FIL_001,minsan po
rec_006_358_FIL_002,may sakit ako minsan
rec_006_358_FIL_003,hindi po
rec_006_358_FIL_004,hindi ko naintindihan yung tanong
rec_006_358_FIL_005,kasi po masakit paa at tuhod ko kaya hindi ako pumasok
rec_006_358_FIL_006,pinapatingin ko kay mama
rec_006_358_FIL_007,minsan pag may sakit ako
rec_006_358_FIL_008,madalas po
rec_006_358_FIL_009,tinatamad po
rec_006_358_FIL_010,hindi
rec_006_359_FIL_001,minsan
rec_006_359_FIL_002,hindi
rec_006_359_FIL_003,ano po yung marka
rec_006_359_FIL_004,bumaba po
rec_006_359_FIL_005,dati pa
rec_006_360_FIL_001,hindi po
rec_006_360_FIL_002,hindi ko naintindihan yung tanong
rec_006_360_FIL_003,madalas
rec_006_360_FIL_004,pag may pangarap po ako minsan po mahirap abutin
rec_006_360_FIL_005,minsan po
rec_006_360_FIL_006,hindi
rec_006_361_FIL_001,hindi po maam
rec_006_361_FIL_002,si mama nakikita ang sakit namin
rec_006_361_FIL_003,minsan
rec_006_361_FIL_004,madalas
rec_006_361_FIL_005,wala po
rec_006_362_FIL_001,minsan po maam
rec_006_362_FIL_002,minsan naiinitan ako
rec_006_362_FIL_003,minsan nalalamigan
rec_006_362_FIL_004,hindi pa kasi ako inaantok
rec_006_362_FIL_005,madalas
rec_006_362_FIL_006,pag umiinom ng kape
rec_006_362_FIL_007,hindi
rec_006_363_FIL_001,minsan po
rec_006_363_FIL_002,hindi po
rec_006_363_FIL_003,baka po may nangyari na kay mama
rec_006_363_FIL_004,si mama ko po
rec_006_363_FIL_005,minsan lang po
rec_006_363_FIL_006,pamilya ko po inaalala ko
rec_006_363_FIL_007,baka maligaw mama ko
rec_006_364_FIL_001,opo
rec_006_364_FIL_002,marami akong kinatatakutan
